MOE_Code;NAME;Address City;District;Contact Person 1;Contact Number 1;Email Address 1;Contact Person 2;Contact Number 2;Email Address 2
;Christian Assemblies Of God School;Corozal Town;Corozal;Rangel  Tzul ;636-4911 ;ranjeltzul94@gmail.com;;;
;Christiline Gill Seventh Day Adventist School;Corozal Town;Corozal;Ms. Gillett ;602-6662;;;;
;Claver College Extension;Punta Gorda Town;Toledo;Dave Forman;605=8984;clavercollege@gmail.com;;;
;Coastland Institute Primary;Dangriga Town;Stann Creek;Petra Fijoh;608-1461/624-4734;mpetra47@yahoo.com;Prosper Fijoh;624-4734;
;Corozal Church Of Christ Primary School;Corozal Town;Corozal;Mr. Chan ;670-4979 ;czlchurchofchrist@gmail.com;;;
;Corozal Methodist School;Corozal Town;Corozal;Mr Pena ;422-2839 ;cormethsch@gmail.com;;;
;Delille Academy;Dangriga Town;Stann Creek;Ms. Dina Villafranco;610-4723;delilleacademy.secretary@gmail.com;Sharon Castillo;626-1650;
;E P Yorke High School;Belize City;Belize;Mrs Karen Canto;224-4554/ 626-0867;epyorke@yahoo.com;Renison Enriquez  Kadijah Marin;615-7939 626-0115;kcantoepy@gmail.com
;Ebenezer Primary School;Belize City;Belize;Gaynor Munnings;224-4558/ 613-5173;ebenezerschool.meth1856@gmail.com;Kamela Crawford;614-7532;grmunnings@gmail.com
;Ecumenical College Sixth Form;Dangriga Town;Stann Creek;Karen Martinez;522-2654/628-3500;dean@ejc.edu.bz;Arnold Vanstuivenberg;605-7365;assistant.dean@ejc.edu.bz
;Ecumenical High School;Dangriga Town;Stann Creek;Ray Lawrence;522-2114/661-5276;ray.lawrence@scec.edu.bz;Anna Brackett;613-2816;anna.brackett@scec.edu.bz
;Eden 7th Day Adventist College;Santa Elena Town;Cayo;Francisco Piveral;824-2966;principal@eden.edu.bz;Henry Martinez;615-1641;
;Eden SDA Primary School;Santa Elena Town;Cayo;Ms Sharon Lopez;671-0525;tharineg@hotmail.com;;;
;El Shaddai School;Belmopan City;Cayo;Esmi Correa ;664-2894;elshaddaistaff@btl.net;Esmi Correa;620-1288;esmiolcor@gmail.com
;Escuela Secundaria;Corozal Town;Corozal;Mr. Raul ;631-8280 ;;;;
;Ethel Vargas Community Prescho;Belize City;Belize;Barbara Elijio-Antonio;203-1194/ 615-4250;ethelvargass2024@gmail.com;Tisby Baizar ;612-0074;tisbybaizar@gmail.com
;Faith Nazarene School;San Ignacio Town;Cayo; Lavern Flowers;804-3320 / 661-8168;faithnazcyo@gmail.com;;;
;Forest Home Methodist School;Forest Home Village;Toledo;Deborah Borland;663-1398 ;foresthomemeth@gmail.com;Dorita Ranguy;672-1151;doritaranguy@gmail.com
;Frank's Eddy Government School;Frank's Eddy Village;Cayo;Brenda Guillen;601 -2323;frankseddygovernmentschool@yahoo.com;;;
;Grace Primary School Amara;Belize City;Belize;Dyann Garnett;670-7268;garnett70dyann@gmail.com;Virginia Hernandez ;605-9359;jilianjenela@yahoo.com
;Grace Primary School Fabers;Belize City;Belize;Dyann Garnett;670-7268;garnett70dyann@gmail.com;Virginia Hernandez ;605-9359;jilianjenela@yahoo.com
;Guadalupe Primary School;Sandhill Village;Belize;Esther Nal Requena;614-9048;guadalupercschool@hotmail.com;Darena Rodriguez Cacho;615-3630;darrodriguez86@gmail.com
;Guinea Grass Pentecostal Primary;Orange Walk Town;Orange Walk;Noe Lopez;673-6536;penteschool@gmail.com;;;
;Guinea Grass RC School;Orange Walk Town;Orange Walk;Leonardo Can;662 5030;leonardocan6@gmail.com;;;
;Gulisi Community Primary;Dangriga Town;Stann Creek;Karol Ellis;637-8962;gcps2007@gmail.com;Marsha Mejia;673-0767;
;Hattieville SDA;Hattieville Village;Belize;Mrs Sharlette Belisle-Jacobs ;630-5823;hattievillesdaschool@gmail.com;;;
;Hills Of Promise SDA Primary School;Benque Viejo Town;Cayo;Thiffany Salas;651-7461;;;;
;Holy Angels Primary School;Pomona Village;Stann Creek;Esan Guttierez;502-3202 / 614-2476;egutz83@gmail.com;Orlando Lucas;614-6955;
;Holy Cross Anglican School;San Pedro Town;Belize;Olivia Tasher;226-3456/ 621-5317;holycrossschool2002@outlook.com;Lizeth Tzul;636-9107;liz_jam900@yahoo.com
;Holy Family;Hopkins Village;Stann Creek;Barbara Nunez;607-6094/613-9920;holyfamily518@gmail.com;Fritz Coleman;625-6773;
;Holy Ghost School;Dangriga Town;Stann Creek;Celia Usher;613-3874;holyghostdangriga@gmail.com;Dora Sabal;615-7517;
;Holy Redeemer School;Belize City;Belize;Leticia Waight;227-0959/ 224-5389/ 601-2225;hrpschool@yahoo.com;Fidelia Cuellar ;224-5675;hrpschool@yahoo.com
;Horizon Academy;Philip Goldson Highway;Belize;Ellia Avilez;637-4179;principal@horizonacademy.edu.bz;Annalyn Guy;223-2765;officemanager1@horizonacademy.edu.bz
;Hummingbird Elementary School;Belize City;Belize;Jamuna Vasquez;626-3951;hummingbirdes@gmail.com ;Ms Lenny Joe Garnett ;224-5383;hummingbirdes@gmail.com 
;Immaculate Conception RC School;Bullet Tree Falls Village;Cayo; Ronnie Ulloa;845 -4060;pott.victor@yahoo.com;;615-1248;immaculateconception604@gmail.com
;Independence Primary School;Independence Village;Stann Creek;Clint Foreman;523-2506/623-4273;independenceprimaryschool@gmail.com;;;
;Isla Bonita Elementary School;San Pedro Town;Belize;Hector Trejo;226-3754 / 635-0101;teacherhectorteaches2020@gmail.com;Addy Martinez;633-2009;martinezaddy888@yahoo.com
;Itvet Belize City (Moesct);Belize City ;Belize;Mr. Salvador Alvarado;2034798/ 6705307;secretary.itvetbelizecity@gmail.com;;;
;James Garbutt Seventh-Day Adventist Primary School;Belize City;Belize;Ms. Marren Moralez;207-2769 / 610-8795;jgsdaprimaryschoolbze@gmail.com;Ms .Melanie Moody ;611-3490;meloniepris2005@yahoo.com
;John Paul 11 Junior College;Benque Viejo Town;Cayo;David N. Ruiz;803-3023;officejpiibelize@gmail.com;Joyce Lemus;823-2896;info@jpii.edu.bz
;Jose Karim Marin/ Jose Marin (Shepards Academy);Belmopan City;Cayo;Ms.Diana;615-4280;jkmarin@gmail.com;;;
;Kennishia Pandy/Church Of Christ School;Independence Village;Stann Creek;Cecil Gill;634-1835;cocps05@gmail.com;Kaniesha Pandy;600-1975/634-1835;
;Kids First Child Development Center/ Kids First Child Phone Line;Dangriga Town;Stann Creek;;502-0272;kidsfirst82@yahoo.com;;;
;La Inmaculada Primary School;Orange Walk Town;Orange Walk;Mrs. Lenny Umana;615-2263;lainmaculadarcschool@yahoo.com;Ms Gina Montejo;613-667;lainmaculadarcschool@yahoo.com
;Ladyville Evangelical School;Ladyville Village;Belize;Elia Lucia Chi;2252223/ 6322133;;;;
;Ladyville S D Adventist School;Ladyville Village;Belize;Idelfonso Acosta;2052409/ 6152640;lsdaprmysch@btl.net;;;
;Laguna Government School;Laguna Village;Toledo;Leroy Coc;600-3024;lagunagovtsch@gmail.com;Filiberta Cowo;632-8136;filibertacowo@yahoo.com
;Light Of Valley Baptist;Pomona Village;Stann Creek;Desiree Pascual;606-5397/667-6429;schoolleader@lotvbs.edu.bz;;;schoolleader@lotvbs.edu.bz
;Little Flower RC School;Forest Home Village;Toledo;Mateo Palma;601-7637 ;littleflowerrc2020@gmail.com;Kerikay Bricenio;610-8581;kerikaybriceno@gmail.com
;Living Hope;Belize City;Belize;Rev. Natalie Dawn Bowen;207-0139/ 610-6614;nataliebowen@hotmail.com;;6130831/6076761;
;Lloyd Coffin Comm Preschool;Belize City;Belize;Gwendolyn Jones;202-4325/ 615-1280;lloydcoffinpreschool82@yahoo.com;;;
;Louise Ville RC School;San Narciso;Corozal;Lorena  Coba ;620-7386;louisvillercschool@gmail.com;;;
;Louisiana Government School;Orange Walk Town;Orange Walk;Mrs. Debbie Palacio;626-3053;louisianagovtschool@gmail.com;Ms Sosa;322-2684;marlonevanromero@yahoo.com
;Mary Hill Primary School;Corozal Town;Corozal;Mr. Pech;4022567/628-7078;maryhillrc@gmail.com;;;
;Maude Williams (MoECST Account);Belize City;Belize;Ms. Domingo;227-6717;;;;
;Methodist Mission School;Dangriga Town;Stann Creek;;502-2059;epworthmethodis55@gmail.com;;;
;Ministry Of Education - St Martin Government;Belmopan City;Cayo;;822-1017;;;;
;Ministry Of Education, Culture, Science & Technology Centro Mexico;San Narciso Village;Corozal;;671-7274;;;;
;MoECST - Excelsior High School;Belize City;Belize;"Dawn Watters
";"227-0044/ 626-7343
";;;;
;MoECST -  Garden City Primary School;Belmopan City;Cayo;Kevin Hall;822-3791;gardencity_primaryschool@yahoo.com591;;;
;MoECST - Gwen Lizarraga;Belize City;Belize;Louis Mortis;227-7144/227-4678/ 600-0549;;;;
;MoECST - Hattieville Government School;Hattieville Village;Belize;Mrs. Gallego;225-6127 /225-6014/600-5890;;;;
;MoECST - Independence High School;Independence Village;Stann Creek;Omar Longsworth;614-7274;;;;
;MoECST Independence Junior College;Independence Village;Stann Creek;Omar Longsworth;523-2566/ 614-7274;msyoung@ijc.edu.bz;;;
;MoECST - Itvet Corozal;Corozal Town;Corozal;;402-0149 ;;;;
;MoECST - Itvet Orange Walk;Orange Walk Town;Orange Walk;Ms Gideon;302-0309;orangewalkitvet@yahoo.com;Mr. Alvarado;670-5306;
;MoECST - Kuxlin Ha;Belmopan City;Cayo;Shirline Wiltshire;663-6142;kuxlinhaprimary@btl.net;;;
;MoECST - Sadie Vernon;Belize City;Belize;"Deborah Martin
";"222-5683/ 222-5721/ 615-9477
";;;;
;MoECST – Itz’at Steam Academy;Belize City;Belize;Mrs Acosta;828-5147;;;;
;MoECST - Trial Farm;Orange Walk Town;Orange Walk;Susana Nicholson;602-8489/ 322-2481;trialfarmgovtsch@gmail.com;Olivette Romero;;
;MoECST - United Evergreen;Belmopan City;Cayo;"""Rosalie Witty";822-2288/615-1158;;;;
;Monsignor Romero RC School;Valley Of Peace;Cayo;Janeth Dueños;608-3538;monsignorromerorc@gmail.com;;;
;Mopan Technical High School;Benque Viejo Town;Cayo; Katie Jones;823-2028;;;;
;Mount Carmel High School;Benque Viejo Town;Cayo;Mr Edward Coleman;823-2535;contrerash@mchs.edu.bz;;;
;Mount Carmel Primary School;Benque Viejo Town;Cayo;Bertha Alegria;823-3103;mountcarmelprimary@yahoo.com;;;
;Muffles College;Orange Walk Town;Orange Walk;Mrs. Margie Johnston;610-3309;principal@mufflescollege.com;Ms Wade;322-2033;principal@mufflescollege.com
;Muslim Community Primary;Belize City;Belize;Martha Sacasa;227-5589/ 613-4885/636-7325;muslimschoolprincipal@gmail.com;;;
;Nazarene High School;Belize City;Belize;"Elisa Seguro
";"203-2248/ 602-0763/ 605-4672
";nhs@nazarenehighbz.org;Joseph Uh;628-7008;juh@nazarenehighbz.org
;Nazarene Primary School;Corozal Town;Corozal;Mr. Gonzalez ;600-7471;;;;
;Nazarene School Benque Viejo Howard Smith ;Benque Viejo Town;Cayo;Marconi Cano;600-3361;nazarene@btl.net;;;
;New Hope High School;Orange Walk Town;Orange Walk;Mrs. Eugenia Gongora;669-2624;nhhs.owbze@gmail.com;Mr. Nelson Amaya;322-3389;nelnath@yahoo.com
;New Horizon Academy;San Pedro Town;Belize;Ms. Elizabeth Sansores;206-2552;;;;
;New Life Pre & Primary School;Orange Walk Town;Orange Walk;Ms Tesla Mendez;610-6019;newlifepre@btl.net;;;newlifeschool8@gmail.com
;Orange Walk Technical High School;Orange Walk Town;Orange Walk;Mr. Julian Polanco;322-2540;julianpolanco2003@yahoo.com;;;
;Our Lady Of Bella Vista RC School;Bella Vista Village;Toledo;Vincent Nunez;6658156;ladyvista2020@gmail.com;;;
;Our Lady Of Fatima RC School;Roaring Creek Village;Cayo;Marlenia Herrera;802-0513;rcfatima52@yahoo.com;;600-4301;
;Our Lady Of Guadalupe High Sch;Belmopan City;Cayo;Judith Lopez;832-2806 / 608-7754 ;ologh@ologh.edu.bz;;;
;Our Lady Of Guadalupe RC School;Belmopan City;Cayo;Mr Salazar;822-0781 ;ologprimary@yahoo.com;;;
;Our Lady Of Guadelupe School;Corozal Town;Corozal;Mr. Gonzalez ;605-7561;guadalupercschool@gmail.com;;;
;Pallotti High School;Belize City;Belize;Sister Clara Teul;224-4886;principal@pallotti.edu.bz;Daniel Garcia ;629-1225;danielgarciadan.dg@gmail.com
;Pancotto Primary;Sandhill;Belize;Yolanda Davis;2255143/ 6005518;pancottoprimarybz@gmail.com;;;
;Pilgrim Fellowship Mennonite School;Hattieville Village;Belize;;674-5189;pfms06@yahoo.com;;;
;Providence SDA High School;San Antonio Village;Toledo;Carlos Cima;613-7585 ;providencesda21@gmail.com;William Borland;631-5429;bgborland@gmail.com
;Punta Gorda Methodist School;Punta Gorda Town;Toledo;Idith Garcia;6234266;pgms2011@yahoo.com;Doris Lopez;614-7319;princess_hyvine@yahoo.ca
;Queen Square Anglican School;Belize City;Belize;Bernadine Conorquie;227-2478/ 620-7067;queensquare@btl.net;;;
;Queen St Baptist School ;Belize City;Belize;Patricia Wade;532-5687/ 632-5687;keeva_wade@yahoo.com;;;
;Ranchito Government School (Mairani Yesenia Tun);Corozal Town;Corozal;Yesenia Tun ;638-4645;ranchitogovt@gmail.com;;;
;Roaring Creek Nazarene School (Raymond Sheppard Nazarene Primary School);Roaring Creek Village;Cayo;Anna Serano;802-2947 / 615-3768;raymondsheppardnazarene72@gmail.com;;;
;Sacred Heart College;San Ignacio Town;Cayo;Rocio Carballo;824-2102;president@shc.edu.bz;;;
;Sacred Heart Primary School;San Ignacio Town;Cayo;Catherine D. Welch;823-3104;sacredheartprimary@yahoo.com;Laura Vanstuivenberg;633-6956;lauraluvu@gmail.com
;Sacred Heart School;Dangriga Town;Stann Creek;;623-1183;sacredheartschool1898@gmail.com;;;
;Salvation Army RC;Belize City;Belize;Carol Martin;207-2156/ 628-3365;;;;
;San Antonio RC School;San Antonio Village;Cayo;Russell Canto;668-8596;;;;
;San Estevan RC School;Orange Walk;Orange Walk;Mrs. Leticia Perez;323-4095;leticia_mperez71@yahoo.com;;;sanestevanrcs@gmail.com
;San Francisco Primary School;Orange Walk Town;Orange Walk;Teodora Toledano;622-4920;sanfranrc@hotmail.com;;;
;San Isidro Government School;Punta Gorda Town;Toledo;Jose Funez;628-8400;sanisidroprimary@gmail.com;;;
;San Joaquin RC School;Corozal Town;Corozal;;423-0057;;;;
;San Jose Palmar RC School;Orange Walk;Orange Walk;Ms. Ermita Osorio;604-9516 ;sanjosenuevopalmar@gmail.com;;;
;San Luis Rey RC School;San Antonio Village;Toledo;Louis Chub;6713455;rcschoolsanluisrey@gmail.com;Melita Savala;622-3351;melitasavala@gmail.com
;San Narciso RC School;Corozal Town;Corozal;Mr.Aragon ;613-9325;;;;
;San Pablo  RC School;Orange Walk Town;Orange Walk;Florita Blanco;651-2607/ 323-5118;blancoflor47@gmail.com;;;
;San Pablo Community Government School;Orange Walk Town;Orange Walk;Jose Moralez;634-4853;sanpablocommunityschool@gmail.com ;Ireshelley;634-4855;sanpablocommunityschool@gmail.com
;San Pedro Columbia RC School;San Pedro Columbia Village;Toledo;Daniel Palma;6226408;sanpedrocolumbiarc@gmail.com;Nestor Assi;632-4958;nestorassi@yahoo.com
;San Pedro High School;San Pedro Town;Belize;Mr. Vasquesz;226-2045;bursar@sphs.edu.bz;;;sphs@btl.net
;San Pedro Junior College ;Sea Gull St;San Pedro;;226-4691;spjuniorcollege.bze@gmail.com;;;
;Santa Clara Seven Day Adventist;Corozal Town;Corozal;Ida Clark ;628-7791;;;;
;Santa Clara/San Roman R C School;Corozal Town;Corozal;Marisol Marin ;605-1510 ;;;;
;Santa Cruz Government School;Santa Cruz Village;Stann Creek;;613-6369;santacruzgovernment2020@gmail.com;;;
;Santa Elena Baptist Primary School;Santa Elena Town;Cayo;Lela Cowo;624-5722;baptistprimary2013@gmail.com;;;
;Santa Elena Baptist Primary School Ii;San Ignacio;Cayo;Ms Flores;625-2500;;;;
;Santa Elena Upper School;Santa Elena Town;Cayo;Andrea Guerra;824-2184;vannito2@yahoo.com;;;
;Shiloh Adventist School;Independence Village;Stann Creek;;667-8808/663-7693;burgshy90@gmail.com;;;
;Silk Grass Primary School;Silk Grass;Stann Creek;Terrence Salam;543-7083663-4868;;;;
;Solid Rock Christian Academy;Dangriga Town;Stann Creek;;613-4032;abelini2006@hotmail.com;;;
;Solomon's SDA Primary School;Orange Walk;Orange Walk;Mr.  Julio Contreras;668-7846;solomonsdaprmysch@btl.net;;;
;Saint Edmun Campion RC School 2;Teakettle Village;Cayo;Gilbert Middleton;630-2049;;;;
;St Alphonsus RC School;Seine Bight Village;Stann Creek;Lorris Moriera;665-3852;stalphonsusrc51201@gmail.com;;;
;St Andrews School;San Ignacio Town;Cayo;Sharee Gutierrez;824-2991;elisharee@yahoo.com;;;
;St Benedict RC School;Punta Gorda Town;Toledo;Raymond Coleman;670-6471;school_saint.benedict@yahoo.com;Zita Pate;634-7311;zwewepate@gmail.com
;St Francis Xavier RC School;San Ignacio Town;Cayo;"""Diana Askari";824-3155;stfrancisxaviercayo@gmail.com;;601-1116;
;St Ignatius High School;San Ignacio Town;Cayo;Ms.Bana;824-3294;bursar@sihs.edu.bz;;;
;St Ignatius Middle School;Belize City;Belize;Lureen Ciego;227-0058/ 602-9394;nashusschool@gmail.com;;;
;St John Vianney RC School;Belize City;Belize;Mr. Sutherland;227-4844;stjohnvianney@btl.net;;;
;St John's College;Belize City;Belize;Stacy Sutherland ;637-0370;itdirector@sjc.edu.bz;Richard Lopez ;601-3126;rlopez@sjc.edu.bz
;St John's Memorial School;Placencia Village;Stann Creek;Marita Rowland;610-5502;st.johnsmemorial@gmail.com;;;
;St John's Primary School;Belize City Euphrates & Kut Avenue;Belize;Darlene Belgrave;227-3410/ 629-6332;;;;
;St Joseph School Cotton Tree;Cottontree Village;Cayo;Joycelyn Coleman;627-8928;;;;
;St Luke Methodist Primary School;Belize City;Belize;Ms. Lynch;222-4301;stlukebz@yahoo.com;;;
;St Martins De Porres School;Belize City;Belize;Dawn Wade;222-4457;st.martindeporresschool@gmail.com;;;
;St Matthews Government School;St Matthews Village;Cayo;Ms Berry;610-9237;;;;
;St Michael R C School;Belmopan City;Cayo;;621-3893;stmichaelrc85@gmail.com;;;
;St Paul's Anglican School;Corozal Town;Corozal;Mrs Aguilar ;610-2194;;;;
;St Therese RC School;Burrell Boom Village;Belize;Marika Baizer;615-0818;evadney_young@yahoo.com;;;st.thereseromancatholic@gmail.com
;St Vincent Pallotti;Unitedville Village;Cayo;Luis Oliva;670-4543;stvincent.palotti@yahoo.com;;;
;St. Agnes Anglican School;La Democracia Village;Belize;Stephen Whyte;613-5845;;;;
;St. Francis Xavier School;Corozal Town;Corozal;; 422-2521;;;;
;St. Joseph Anglican Preschool;Punta Gorda Town;Toledo;Loma Rodriguez;608-9165 ;stjosephrc3@gmail.com;Dionie Rodriguez;637-6314;queendionie2008@yahoo.com
;St. Joseph Primary School;Belize City;Belize;Claudia Avilez;203-4623/  223-1772/ 604-3339;stjosephrcschool@yahoo.com;;223-1772;
;St. Jude RC;Camalote Village;Cayo;Shevon Mendez;614-9707;st.juderc.school@gmail.com;;;
;St. Mary's School  - 613-3055 Ray Garay;Belize City;Belize;Ms. Garay;613-3055;stmarysschool1@btl.net;;;
;St. Mathews Anglican School;Pomona Village;Stann Creek;Alexander Gonzales;670-5296;alexandargunzales91@yahoo.com;;;
;Stann Creek It Vet (Moe Account);Dangriga Town;Stann Creek;Gwen Garcia;502-0859/671-9393;;;;
;Stella Maris School;Belize City;Belize;Ms. Cantun;224-4564;stellamarisschool@btl.net;;;
;Succotz RC School;Benque Viejo Town;Cayo;Mr. Henry;6058083;;;;
;Toledo Christian Academy;Punta Gorda Town;Toledo;Mr. Emerson Mangar;6294526;tcayemerigrove@gmail.com;Charlston Fisher;637-4812;tcaprincipal7@gmail.com
;Trinity Methodist School;Belize City;Belize;Jamael Campbel;2231096/ 6317806;TRINITYMETHODISTSCHOOL@BTL.NET;;;
;United Pentecostal School;San Antonio Village;Cayo;Arcelito Mai;662-8106;unitedpentecostalschool@yahoo.com;;;
;Unity Presbyterian Primary School;Belize City;Belize;Dalila Makhwani;615-7804;;;;
;University Of Belize;Central Farm;Cayo;Joyce Hall;650-4688 ;;;;
;University Of Belize;Belize City;Belize;Steve Castillo;604-9761;scastillo@ub.edu.bz;;;Abdulaziz.sanderson@ub.edu.bz
;University Of Belize;Belize City;Belize;Steve Castillo;604-9761;scastillo@ub.edu.bz;;;Abdulaziz.sanderson@ub.edu.bz
;University Of Belize;Punta Gorda Town;Toledo;Steve Castillo;604-9761;scastillo@ub.edu.bz;Roy Polonio;610-1375;rpolonio@ub.edu.bz
;University Of Belize;Belmopan City;Cayo;Steve Castillo;604-9761;scastillo@ub.edu.bz;;;Abdulaziz.sanderson@ub.edu.bz
;University Of Belize;Belize City;Belize;Steve Castillo;604-9761;scastillo@ub.edu.bz;;;Abdulaziz.sanderson@ub.edu.bz
;Valley Of Peace Christian;Belmopan;Cayo;Martha Mendoza;651-5686 ;;;;
;Victorious Nazarene School;Benque Viejo Town;Cayo;Diana Reyes;628-2078;principal@vns.edu.bz;;627-3084 ;
;Wesley College;Belize City;Belize;Ms. Welch;615-4057;wesleyjuniorcollege@yahoo.com;Mr. Edgar Pacheco ;;
;Wesley Infant School;Belize City;Belize;Nathalie Phillips;2273931/ 2273288/ 6310765;wesleypreschoolbz20@yahoo.com;;637-1827;
;Wesley Junior College;Belize City;Belize;Myrick Marshall;613-3268/227-0333;wesleyjuniorcollege@yahoo.com;;;office@wjc.edu.bz
;Wesley Upper School;Belize City;Belize;Mrs. Middleton;227-2921;nwelchbz@yahoo.com;;;
;Xaibe RC School;Corozal Town;Corozal;Margaret  Carr ;623-6396;xaibercs@gmail.com;;;
;YMCA;Belize City;Belize;;;;;;
;YWCA;Belize City;Belize;;;;;;
;Zion SDA Primary School;Dangriga Town;Stann Creek;Ms Montejo;614-3092;zsdaschool2014@gmail.com;Mario Bull;611-9304;
